"349190600","BIELSKO-BIA£A","2017","01","01",.0,"",1.8,"",.6,"",2.7,"",44.6,"",972.1,"",1021.7,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","02",4.4,"",4.4,"",.9,"",3.9,"",62.4,"",966.3,"",1015.5,"",1.6,"",.3,""
"349190600","BIELSKO-BIA£A","2017","01","03",7.3,"",6.0,"",-1.4,"",4.6,"",83.4,"",968.6,"",1018.4,"",.2,"",1.8,""
"349190600","BIELSKO-BIA£A","2017","01","04",8.0,"",8.5,"",.4,"",5.2,"",82.4,"",954.1,"",1002.8,"",.5,"",.8,""
"349190600","BIELSKO-BIA£A","2017","01","05",7.0,"",2.9,"",-5.0,"",3.3,"",76.8,"",967.1,"",1017.5,"",.6,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","06",6.4,"",1.5,"",-13.4,"",1.6,"",74.5,"",983.4,"",1036.4,"",.0,"",.1,""
"349190600","BIELSKO-BIA£A","2017","01","07",3.6,"",1.8,"",-18.0,"",1.2,"",78.0,"",983.1,"",1037.0,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","08",1.1,"",2.5,"",-15.5,"",1.3,"",71.6,"",978.4,"",1031.6,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","09",5.9,"",1.0,"",-10.6,"",1.9,"",69.1,"",977.4,"",1029.5,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","10",.9,"",1.5,"",-10.7,"",2.1,"",76.0,"",971.5,"",1023.2,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","11",2.1,"",3.8,"",-7.3,"",2.1,"",60.8,"",966.9,"",1017.8,"",.0,"",.3,""
"349190600","BIELSKO-BIA£A","2017","01","12",6.8,"",7.4,"",-.4,"",4.6,"",77.4,"",959.1,"",1008.2,"",.5,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","13",7.4,"",8.0,"",2.8,"",5.1,"",68.5,"",949.5,"",997.5,"",.0,"",.4,""
"349190600","BIELSKO-BIA£A","2017","01","14",7.3,"",3.3,"",-.8,"",4.8,"",84.3,"",954.4,"",1003.3,"",.0,"",1.5,""
"349190600","BIELSKO-BIA£A","2017","01","15",5.9,"",4.1,"",-1.8,"",4.2,"",77.6,"",966.0,"",1015.7,"",.3,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","16",5.4,"",1.5,"",-3.0,"",3.8,"",76.5,"",972.5,"",1022.8,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","17",7.9,"",1.8,"",-3.8,"",3.8,"",83.0,"",982.0,"",1032.9,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","18",7.0,"",2.5,"",-7.8,"",3.1,"",91.1,"",988.4,"",1040.5,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","19",2.4,"",1.8,"",-8.7,"",2.7,"",84.6,"",988.4,"",1040.6,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","20",6.1,"",1.5,"",-4.4,"",2.9,"",66.9,"",985.9,"",1037.2,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","21",8.0,"",1.1,"",-.4,"",4.7,"",79.3,"",984.0,"",1034.4,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","22",2.0,"",1.3,"",-.7,"",4.7,"",80.5,"",982.8,"",1033.1,"",.0,"",.0,""
"349190600","BIELSKO-BIA£A","2017","01","23",.0,"",1.3,"",-3.6,"",3.7,"",78.9,"",976.9,"",1027.6,"",.0,"",.0,""
